cust_id,gender
3500,0.58
3501,0.2
3502,0.27
3503,0.56
3504,0.44
3505,0.52
3506,0.4
3507,0.78
3508,0.06
3509,0.23
3510,0.29
3511,0.44
3512,0.48
3513,0.17
3514,0.6
3515,0.2
3516,0.15
3517,0.44
3518,0.51
3519,0.57
3520,0.49
3521,0.41
3522,0.86
3523,0.24
3524,0.27
3525,0.38
3526,0.24
3527,0.66
3528,0.79
3529,0.52
3530,0.39
3531,0.69
3532,0.5
3533,0.34
3534,0.55
3535,0.72
3536,0.73
3537,0.44
3538,0.71
3539,0.5
3540,0.19
3541,0.38
3542,0.39
3543,0.56
3544,0.62
3545,0.46
3546,0.18
3547,0.07
3548,0.69
3549,0.31
3550,0.57
3551,0.83
3552,0.4
3553,0.57
3554,0.43
3555,0.3
3556,0.48
3557,0.32
3558,0.23
3559,0.31
3560,0.56
3561,0.26
3562,0.34
3563,0.46
3564,0.46
3565,0.29
3566,0.06
3567,0.7
3568,0.4
3569,0.54
3570,0.15
3571,0.34
3572,0.81
3573,0.37
3574,0.6
3575,0.8
3576,0.62
3577,0.23
3578,0.53
3579,0.04
3580,0.34
3581,0.7
3582,0.63
3583,0.43
3584,0.6
3585,0.3
3586,0.5
3587,0.25
3588,0.23
3589,0.38
3590,0.63
3591,0.29
3592,0.41
3593,0.57
3594,0.37
3595,0.54
3596,0.45
3597,0.44
3598,0.49
3599,0.52
3600,0.51
3601,0.16
3602,0.56
3603,0.2
3604,0.42
3605,0.31
3606,0.2
3607,0.25
3608,0.33
3609,0.43
3610,0.72
3611,0.63
3612,0.97
3613,0.29
3614,0.62
3615,0.23
3616,0.5
3617,0.92
3618,0.57
3619,0.28
3620,0.48
3621,0.5
3622,0.47
3623,0.63
3624,0.42
3625,0.36
3626,0.35
3627,0.16
3628,0.74
3629,0.2
3630,0.24
3631,0.84
3632,0.61
3633,0.38
3634,0.45
3635,0.43
3636,0.46
3637,0.67
3638,0.17
3639,0.68
3640,0.7
3641,0.28
3642,0.69
3643,0.2
3644,0.4
3645,0.46
3646,0.38
3647,0.43
3648,0.82
3649,0.56
3650,0.28
3651,0.53
3652,0.31
3653,0.49
3654,0.4
3655,0.41
3656,0.5
3657,0.33
3658,0.12
3659,0.12
3660,0.31
3661,0.47
3662,0.25
3663,0.66
3664,0.81
3665,0.37
3666,0.8975
3667,0.4
3668,0.53
3669,0.48
3670,0.52
3671,0.49
3672,0.32
3673,0.3
3674,0.71
3675,0.67
3676,0.17
3677,0.66
3678,0.24
3679,0.56
3680,0.27
3681,0.79
3682,0.43
3683,0.09
3684,0.61
3685,0.41
3686,0.21
3687,0.48
3688,0.3
3689,0.74
3690,0.28
3691,0.1
3692,0.2
3693,0.49
3694,0.24
3695,0.82
3696,0.49
3697,0.23
3698,0.24
3699,0.49
3700,0.42
3701,0.46
3702,0.34
3703,0.37
3704,0.34
3705,0.55
3706,0.48
3707,0.23
3708,0.21
3709,0.37
3710,0.22
3711,0.25
3712,0.63
3713,0.25
3714,0.74
3715,0.39
3716,0.29
3717,0.6
3718,0.11
3719,0.29
3720,0.44
3721,0.6216666666666666
3722,0.37
3723,0.49
3724,0.12
3725,0.49
3726,0.76
3727,0.28
3728,0.66
3729,0.46
3730,0.51
3731,0.41
3732,0.51
3733,0.69
3734,0.3
3735,0.35
3736,0.39
3737,0.59
3738,0.29
3739,0.57
3740,0.54
3741,0.49
3742,0.37
3743,0.34
3744,0.4
3745,0.16
3746,0.36
3747,0.26
3748,0.25
3749,0.73
3750,0.28
3751,0.36
3752,0.22
3753,0.59
3754,0.37
3755,0.84
3756,0.69
3757,0.58
3758,0.47
3759,0.68
3760,0.13
3761,0.43
3762,0.35
3763,0.19
3764,0.41
3765,0.31
3766,0.43
3767,0.53
3768,0.1
3769,0.27
3770,0.7
3771,0.31
3772,0.6
3773,0.49
3774,0.34
3775,0.61
3776,0.89
3777,0.41
3778,0.2
3779,0.62
3780,0.37
3781,0.49
3782,0.59
3783,0.17
3784,0.47
3785,0.7875
3786,0.36
3787,0.52
3788,0.49
3789,0.32
3790,0.15
3791,0.42
3792,0.53
3793,0.68
3794,0.24
3795,0.44
3796,0.1
3797,0.59
3798,0.33
3799,0.56
3800,0.14
3801,0.02
3802,0.26
3803,0.22
3804,0.39
3805,0.55
3806,0.46
3807,0.22
3808,0.7
3809,0.28
3810,0.55
3811,0.7
3812,0.69
3813,0.81
3814,0.61
3815,0.64
3816,0.44
3817,0.25
3818,0.67
3819,0.26
3820,0.6
3821,0.65
3822,0.14
3823,0.42
3824,0.25
3825,0.66
3826,0.32
3827,0.42
3828,0.27
3829,0.44
3830,0.88
3831,0.16
3832,0.29
3833,0.11
3834,0.34
3835,0.18
3836,0.32
3837,0.31
3838,0.47
3839,0.68
3840,0.39
3841,0.12
3842,0.33
3843,0.2
3844,0.44
3845,0.16
3846,0.37
3847,0.46
3848,0.34
3849,0.92
3850,0.38
3851,0.11
3852,0.65
3853,0.39
3854,0.57
3855,0.19
3856,0.35
3857,0.17
3858,0.49
3859,0.65
3860,0.7375
3861,0.34
3862,0.29
3863,0.52
3864,0.33
3865,0.53
3866,0.65
3867,0.74
3868,0.57
3869,0.53
3870,0.42
3871,0.6
3872,0.83
3873,0.35
3874,0.51
3875,0.07
3876,0.35
3877,0.26
3878,0.55
3879,0.54
3880,0.78
3881,0.12
3882,0.21
3883,0.49
3884,0.44
3885,0.54
3886,0.6466666666666666
3887,0.32
3888,0.5
3889,0.32
3890,0.48
3891,0.25
3892,0.24
3893,0.3
3894,0.12
3895,0.09
3896,0.25
3897,0.19
3898,0.69
3899,0.2
3900,0.71
3901,0.72
3902,0.37
3903,0.31
3904,0.54
3905,0.44
3906,0.54
3907,0.32
3908,0.24
3909,0.65
3910,0.27
3911,0.03
3912,0.82
3913,0.54
3914,0.37
3915,0.14
3916,0.27
3917,0.85
3918,0.61
3919,0.17
3920,0.43
3921,0.57
3922,0.68
3923,0.258
3924,0.4
3925,0.2
3926,0.43
3927,0.12
3928,0.51
3929,0.64
3930,0.5
3931,0.26
3932,0.74
3933,0.57
3934,0.12
3935,0.17
3936,0.21
3937,0.26
3938,0.64
3939,0.16
3940,0.51
3941,0.43
3942,0.22
3943,0.38
3944,0.3
3945,0.21
3946,0.27
3947,0.13
3948,0.41
3949,0.63
3950,0.31
3951,0.57
3952,0.46
3953,0.42
3954,0.8
3955,0.64
3956,0.14
3957,0.33
3958,0.53
3959,0.4
3960,0.47
3961,0.38
3962,0.58
3963,0.29
3964,0.54
3965,0.815
3966,0.26
3967,0.32
3968,0.96
3969,0.27
3970,0.34
3971,0.34
3972,0.24566666666666667
3973,0.53
3974,0.7
3975,0.64
3976,0.69
3977,0.35
3978,0.64
3979,0.45
3980,0.37
3981,0.15
3982,0.34
3983,0.56
3984,0.77
3985,0.08
3986,0.16
3987,0.12
3988,0.29
3989,0.8
3990,0.32
3991,0.34
3992,0.15
3993,0.28
3994,0.27
3995,0.42
3996,0.37
3997,0.4
3998,0.62
3999,0.51
4000,0.36
4001,0.55
4002,0.35
4003,0.36
4004,0.75
4005,0.4
4006,0.73
4007,0.65
4008,0.48
4009,0.49
4010,0.2
4011,0.2
4012,0.42
4013,0.48
4014,0.25
4015,0.51
4016,0.26
4017,0.29
4018,0.66
4019,0.28
4020,0.3
4021,0.6
4022,0.56
4023,0.61
4024,0.7
4025,0.7
4026,0.81
4027,0.67
4028,0.43
4029,0.18
4030,0.16
4031,0.34
4032,0.7
4033,0.31
4034,0.44
4035,0.7
4036,0.69
4037,0.24
4038,0.41
4039,0.38
4040,0.37
4041,0.45
4042,0.27
4043,0.28
4044,0.5
4045,0.9
4046,0.45
4047,0.19
4048,0.69
4049,0.5
4050,0.24
4051,0.31
4052,0.22
4053,0.44
4054,0.32
4055,0.63
4056,0.87
4057,0.5
4058,0.74
4059,0.81
4060,0.48
4061,0.28
4062,0.66
4063,0.44
4064,0.58
4065,0.38
4066,0.07
4067,0.12
4068,0.34
4069,0.67
4070,0.49
4071,0.43
4072,0.25
4073,0.32
4074,0.48
4075,0.44
4076,0.34
4077,0.45
4078,0.57
4079,0.5975
4080,0.76
4081,0.29
4082,0.52
